,kh,Count,Sum,Avg,Min,Max
0,000186fa,18,11880.7,660.0388888888889,148.5,2250.0
1,000234ad,12,12850.0,1070.8333333333333,244.0,2500.0
2,000339f1,21,6428.8,306.1333333333333,3.0,1316.0
3,0004bad2,2,8964.0,4482.0,3312.0,5652.0
4,000539ab,1,236.0,236.0,236.0,236.0
5,00065bc9,7,3010.0,430.0,300.0,780.0
6,00075d60,33,54298.0,1645.3939393939395,200.0,16792.0
7,000cd735,100,125039.50000000001,1250.3950000000002,42.0,8080.0
8,000e0c35,7,2488.0,355.42857142857144,240.0,698.0
9,000e6203,3,2277.0,759.0,310.0,1428.0
10,000fb14f,1,1782.0,1782.0,1782.0,1782.0
11,001375c7,1,250.0,250.0,250.0,250.0
12,0015a268,4,1690.0,422.5,205.0,650.0
13,0016caca,1,2004.0,2004.0,2004.0,2004.0
14,001772f3,4,5400.0,1350.0,1050.0,1450.0
15,001a6bdb,1,600.0,600.0,600.0,600.0
16,001c0b66,2,1060.0,530.0,380.0,680.0
17,001e604d,15,20757.0,1383.8,140.0,6594.0
18,001eb142,6,8736.5,1456.0833333333333,310.5,2279.0
19,002099b7,1,295.0,295.0,295.0,295.0
20,00210b7c,7,8214.0,1173.4285714285713,145.0,2646.0
21,0021aec2,2,3388.0,1694.0,1500.0,1888.0
22,0023bd95,2,10782.0,5391.0,2798.0,7984.0
23,002a97ef,2,630.0,315.0,162.0,468.0
24,002dba30,3,1799.0,599.6666666666666,272.83,1040.18
25,002df0e7,8,4340.0,542.5,270.0,1050.0
26,002df956,1,300.0,300.0,300.0,300.0
27,002e1f3a,9,13373.0,1485.888888888889,216.41,3582.0
28,0030d316,2,2025.0,1012.5,930.0,1095.0
29,0030f73c,3,5139.0,1713.0,1290.0,2459.0
30,0031dbe1,1,1390.0,1390.0,1390.0,1390.0
31,00337a3b,1,320.0,320.0,320.0,320.0
32,0033f21d,2,3620.12,1810.06,1568.0,2052.12
