spbm,spmc,ppbm,lbbm,jxs,xxs,wsjj,hsjj,sj
ce385235,珂罗蒂雅服装系列,90,70101,1.06,1.06,0.0000 ,0.0000 ,0.0000 
c34ffa55,赛琪系列商品B,376,30501,1.17,1.17,0.0000 ,0.0000 ,0.0000 
3687f30e,集雅廊Sergio Borchi像框A222L--1B,756,90901,1.17,1.17,545.2991 ,638.0000 ,1910.0000 
054ea853,集雅廊Sergio Borchi像框A22CL--0D,756,90901,1.17,1.17,179.4872 ,210.0000 ,630.0000 
28fd9c64,三六一度系列商品F,375,30501,1.17,1.17,0.0000 ,0.0000 ,0.0000 
a6bb0e11,柯罗芭女装系列员购,270,70202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
d2be9748,集雅廊Sergio Borchi像框A22CL--0A,756,90901,1.17,1.17,305.1282 ,357.0000 ,1090.0000 
2029fff6,三六一度系列商品A,375,30501,1.17,1.17,0.0000 ,0.0000 ,0.0000 
43831d6f,集雅廊Sergio Borchi像框A22CL--10,756,90901,1.17,1.17,352.1368 ,412.0000 ,1230.0000 
aea5579f,依恋女装系列D,365,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
cd0a2fd3,集雅廊Sergio Borchi像框A22CL-13,756,90901,1.17,1.17,489.7436 ,573.0000 ,1720.0000 
440c21ce,集雅廊Sergio Borchi像框A310L-10,756,90901,1.17,1.17,423.9316 ,496.0000 ,1490.0000 
a48e2b51,哥伦比亚系列商品C,374,30201,1.17,1.17,0.0000 ,0.0000 ,0.0000 
2f48bf0e,集雅廊Sergio Borchi像框A310L-13,756,90901,1.17,1.17,592.3077 ,693.0000 ,2080.0000 
0d071407,集雅廊Sergio Borchi像框A32B-0D,756,90901,1.17,1.17,189.7436 ,222.0000 ,670.0000 
c2a0a6e5,集雅廊高宝挂画DDE1A0EA,756,90901,1.17,1.17,761.5385 ,891.0000 ,2950.0000 
05456a4f,依恋女装系列F,365,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
d5194b2e,集雅廊Sergio Borchi像框A32B-0A,756,90901,1.17,1.17,328.2051 ,384.0000 ,1150.0000 
29782851,集雅廊Sergio Borchi像框A32B-10,756,90901,1.17,1.17,360.6838 ,422.0000 ,1250.0000 
91d019be,匡威系列商品A,372,30301,1.17,1.17,0.0000 ,0.0000 ,0.0000 
2317cc9d,黛安芬内衣系列E,177,70302,1.17,1.17,0.0000 ,0.0000 ,0.0000 
f8f7b81a,集雅廊Sergio Borchi像框A331-0D,756,90901,1.17,1.17,189.7436 ,222.0000 ,670.0000 
2f7fea13,黛安芬内衣系列4,177,70302,1.17,1.17,0.0000 ,0.0000 ,0.0000 
f4927c5b,集雅廊Sergio Borchi像框A331-10,756,90901,1.17,1.17,346.1538 ,405.0000 ,1250.0000 
99e141cf,集雅廊Sergio Borchi像框A331-13,756,90901,1.17,1.17,455.5556 ,533.0000 ,1660.0000 
c94b3ef2,彪马系列商品B,371,30301,1.17,1.17,0.0000 ,0.0000 ,0.0000 
a6cb0971,三六一度系列商品C,375,30501,1.17,1.17,0.0000 ,0.0000 ,0.0000 
b642b863,依恋女装系列员购,365,60202,1.17,1.17,0.0000 ,0.0000 ,0.0000 
